x,y,Name,Genes
-4.580253,-14.968791,SMARCD2,SS18 TBL1XR1 SMARCD3 BCL7B ACTL6A SMARCE1 DPF2 ARID1A SMARCA2 BRD7 SMARCA4 
14.926308,-5.1363754,XAB2,AQR SF3A2 SF3A3 DHX8 DDX23 EFTUD2 PRPF8 RAB43 PRPF19 DHX35 DHX15 PRPF31 CCDC12 SF3A1 ZNF830 PPIE 
14.731879,-14.630832,ZNF24,ZBED9 ZNF174 ZSCAN32 SCAND1 ZNF446 PGBD1 
12.140631,4.2190404,ATP5F1,ATP5L ATP5C1 ATP5J ATP5I ATP5O 
-4.5344634,-14.922809,SMARCD3,TBL1XR1 BCL7B SMARCE1 ARID1A SMARCA2 SMARCA4 
12.274342,-8.548814,PSMB4,CDK18 AKIRIN2 CEP120 PSMB9 PSMA8 PSMB10 PSMA7 PSMB3 PSME4 PSME2 PSMF1 FBXO7 PSMG2 PSME1 
-1.8442948,13.18878,MRPS2,DAP3 MRPS27 MRPS28 MRPS14 MRPS25 MRPS26 MRPS23 MRPS35 MRPS21 MRPS18B MRPS22 MRPS33 MRPS7 MRPS9 
10.149446,-13.212918,MYEF2,RBM28 ZNF771 DDX27 CCDC137 ZC3HAV1 PAPD5 REXO4 RPF2 DHX30 HERC5 EBNA1BP2 MYBBP1A DKC1 PES1 FYTTD1 
20.852991,-8.538136,GUSB,NID1 NAGLU FUT11 EDEM3 MEGF8 PCSK6 UGGT2 FOXRED2 SGSH SIAE 
18.974625,-12.29532,GPN1,POLR3D POLR1C POLR2E POLR2F POLR2G RPAP2 
14.109626,6.961453,BTF3,RPS8 RPL21 RPS9 RPL23A RPS3A CANX RPS20 RPS25 RPL6 RPL30 HSP90AB1 RPL10 RPL13 RPLP2 RPL34 RPL12 DLST ATP5A1 YBX1 HNRNPU RPL10A ATP5O RPL7 G3BP1 G3BP2 RPL14 RPS5 RPL39 RPS3 RPS15A RPS27A 
9.309903,3.6596878,PSMD1,PSMD13 PSMD7 PSMD12 PSMD14 PSMD3 PSMC2 PSMD4 PSMC3 PSMD2 PSMC1 UCHL5 PAAF1 
10.108341,-13.26312,EBNA1BP2,RPL3 RPL30 RPL11 STAU2 RPS9 RPL21 RPLP2 MPHOSPH10 PAPD5 LARP7 RPF2 DHX30 MYBBP1A DKC1 RPL27A PES1 RPS15A LYAR NOP56 FYTTD1 
15.426847,-0.33761892,GSTO1,PARK7 ENO1 ENO3 TKT GPI 
-1.8801606,13.222964,MRPS22,RBM28 DHX30 DAP3 DDX27 MYBBP1A EBNA1BP2 MRPS35 MRPS21 DDX21 MRPS33 MRPS7 
